sequence_id,gesture0,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture_true,Usage,all_sensors
ANON_002353,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Public,True
ANON_001000,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Write name on leg,Public,False
ANON_001119,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,True
ANON_001955,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - pinch skin,Neck - scratch,Neck - scratch,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Neck - pinch skin,Neck - pinch skin,Neck - scratch,Public,True
ANON_001860,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,True
ANON_001965,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair,Private,True
ANON_002666,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Wave hello,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name on leg,Write name on leg,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Write name in air,Private,False
ANON_000477,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Write name on leg,Write name on leg,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Glasses on/off,Private,False
ANON_002599,Scratch knee/leg skin,Scratch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Write name on leg,Write name on leg,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin,Public,True
ANON_001210,Forehead - scratch,Forehead - scratch,Forehead - pull hairline,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Eyebrow - pull hair,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - pull hairline,Forehead - scratch,Forehead - scratch,Forehead - scratch,Forehead - scratch,Private,False
